,Attained_Age,Observation_Year,Death_Claim_Amount,Amount_Exposed,qx
139,35,2015,61740848,259531003443.91107,0.00023789392088311028
140,35,2016,54225330,268337442210.23022,0.0002020788808052993
141,35,2017,54571816,273376550151.13022,0.00019962142316095206
142,35,2018,56989763,280659449883.16614,0.00020305663331031217
143,35,2019,57700194,283784577819.9065,0.0002033239242360003
144,36,2012,53685286,231206592171.35455,0.00023219617354254383
145,36,2013,58973114,258420690706.13956,0.00022820585239848566
146,36,2014,64656759,266288687510.35846,0.00024280700620256312
147,36,2015,62133906,279168092881.62634,0.00022256807845997715
148,36,2016,61509111,289862248324.2231,0.00021220117954511786
149,36,2017,86696439,297042202708.288,0.0002918657288746971
150,36,2018,62370942,308958353298.42664,0.000201874917231175
151,36,2019,82890058,315040306497.609,0.0002631093745480123
152,37,2012,66051917,251200202858.04813,0.0002629453171155502
153,37,2013,69227099,274293949108.92532,0.0002523828878649784
154,37,2014,80023204,284088110947.10504,0.00028168445252149145
155,37,2015,73731297,300084940251.74854,0.0002457014235307677
156,37,2016,81696352,307812402574.0546,0.0002654095524313553
157,37,2017,95320793,316803157030.96234,0.00030088334312490436
158,37,2018,79046937,332594315464.06323,0.00023766773310514086
159,37,2019,99160933,342337202729.50195,0.00028965865295789103
160,38,2012,59894688,263934048017.45462,0.00022693050953410534
161,38,2013,85659555,292932466124.53894,0.0002924208304161896
162,38,2014,101998158,297494568676.58356,0.0003428572106500729
163,38,2015,82533933,315981656410.56775,0.0002611984946770464
164,38,2016,99106371,325901177287.79785,0.0003040994568500157
165,38,2017,93068621,331114019712.9398,0.0002810772587662887
166,38,2018,97489569,351433495284.1659,0.00027740545596307154
167,38,2019,109531428,363096240942.5249,0.0003016594931296408
168,39,2012,115863861,282141248311.5831,0.0004106590641863382
169,39,2013,108751406,305598196466.7759,0.0003558640308004019
170,39,2014,102117588,317283895050.642,0.00032184926368135044
171,39,2015,86499793,329592839522.57385,0.0002624443938930767
172,39,2016,180972391,342344587328.74316,0.0005286264123878718
173,39,2017,109617967,348628116439.62744,0.00031442663924951316
174,39,2018,95784797,366007000889.1316,0.0002617020897614319
175,39,2019,134029711,380067857039.7115,0.00035264679324354406
176,40,2012,88736773,309624601941.0782,0.0002865947099929956
177,40,2013,102672865,323113842498.6836,0.00031776065118726166
178,40,2014,103367086,327456264025.8949,0.0003156668457923463
179,40,2015,109271892,347333260665.81555,0.00031460244201932406
180,40,2016,129867521,352792968544.0949,0.00036811255489568553
181,40,2017,126720783,362668270167.5541,0.0003494123788150933
182,40,2018,139977448,380082895745.36505,0.00036828136589913085
183,40,2019,136936771,391481767819.1428,0.0003497909283562401
184,41,2012,105137958,335633046582.71497,0.00031325269984727
185,41,2013,131046480,349263356992.5747,0.000375208212875266
186,41,2014,130458340,342584372060.5485,0.0003808064542329524
187,41,2015,144878149,354986661155.931,0.0004081227968629531
188,41,2016,141741374,367093252983.51825,0.00038611816710879156
189,41,2017,168076735,368735072697.96844,0.00045581976721176167
190,41,2018,142804012,388871110254.60376,0.00036722710490502263
191,41,2019,121092754,401530511776.32446,0.00030157796343869284
192,42,2012,111776360,334949235854.6426,0.00033371134498872963
193,42,2013,153339759,374389299964.38196,0.00040957302736640227
194,42,2014,174541584,367397458901.9259,0.00047507564293359096
195,42,2015,158564697,369182149023.36707,0.0004295026111621767
196,42,2016,128613582,373153236791.24036,0.00034466693390081067
197,42,2017,129580570,381123531211.869,0.00033999624632981615
198,42,2018,187741841,392128657600.16064,0.00047877612962282786
